ID,SlotStart,SlotHour,SlotHourName
1,0:00,0,0:00
2,0:10,0,0:00
3,0:20,0,0:00
4,0:29,0,0:00
5,0:39,0,0:00
6,0:50,0,0:00
7,1:00,1,1:00
8,1:09,1,1:00
9,1:19,1,1:00
10,1:30,1,1:00
11,1:40,1,1:00
12,1:50,1,1:00
13,1:59,1,1:00
14,2:09,2,2:00
15,2:20,2,2:00
16,2:30,2,2:00
17,2:39,2,2:00
18,2:49,2,2:00
19,3:00,3,3:00
20,3:10,3,3:00
21,3:20,3,3:00
22,3:29,3,3:00
23,3:39,3,3:00
24,3:50,3,3:00
25,4:00,4,4:00
26,4:09,4,4:00
27,4:19,4,4:00
28,4:30,4,4:00
29,4:40,4,4:00
30,4:50,4,4:00
31,4:59,4,4:00
32,5:09,5,5:00
33,5:20,5,5:00
34,5:30,5,5:00
35,5:39,5,5:00
36,5:49,5,5:00
37,6:00,6,6:00
38,6:10,6,6:00
39,6:20,6,6:00
40,6:29,6,6:00
41,6:39,6,6:00
42,6:50,6,6:00
43,7:00,7,7:00
44,7:09,7,7:00
45,7:19,7,7:00
46,7:30,7,7:00
47,7:40,7,7:00
48,7:50,7,7:00
49,7:59,7,7:00
50,8:09,8,8:00
51,8:20,8,8:00
52,8:30,8,8:00
53,8:39,8,8:00
54,8:49,8,8:00
55,9:00,9,9:00
56,9:10,9,9:00
57,9:20,9,9:00
58,9:29,9,9:00
59,9:39,9,9:00
60,9:50,9,9:00
61,10:00,10,10:00
62,10:09,10,10:00
63,10:19,10,10:00
64,10:30,10,10:00
65,10:40,10,10:00
66,10:50,10,10:00
67,10:59,10,10:00
68,11:09,11,11:00
69,11:20,11,11:00
70,11:30,11,11:00
71,11:39,11,11:00
72,11:49,11,11:00
73,12:00,12,12:00
74,12:10,12,12:00
75,12:20,12,12:00
76,12:29,12,12:00
77,12:39,12,12:00
78,12:50,12,12:00
79,13:00,13,13:00
80,13:09,13,13:00
81,13:19,13,13:00
82,13:30,13,13:00
83,13:40,13,13:00
84,13:50,13,13:00
85,13:59,13,13:00
86,14:09,14,14:00
87,14:20,14,14:00
88,14:30,14,14:00
89,14:39,14,14:00
90,14:49,14,14:00
91,15:00,15,15:00
92,15:10,15,15:00
93,15:20,15,15:00
94,15:29,15,15:00
95,15:39,15,15:00
96,15:50,15,15:00
97,16:00,16,16:00
98,16:09,16,16:00
99,16:19,16,16:00
100,16:30,16,16:00
101,16:40,16,16:00
102,16:50,16,16:00
103,16:59,16,16:00
104,17:09,17,17:00
105,17:20,17,17:00
106,17:30,17,17:00
107,17:39,17,17:00
108,17:49,17,17:00
109,18:00,18,18:00
110,18:10,18,18:00
111,18:20,18,18:00
112,18:29,18,18:00
113,18:39,18,18:00
114,18:50,18,18:00
115,19:00,19,19:00
116,19:09,19,19:00
117,19:19,19,19:00
118,19:30,19,19:00
119,19:40,19,19:00
120,19:50,19,19:00
121,19:59,19,19:00
122,20:09,20,20:00
123,20:20,20,20:00
124,20:30,20,20:00
125,20:39,20,20:00
126,20:49,20,20:00
127,21:00,21,21:00
128,21:10,21,21:00
129,21:20,21,21:00
130,21:29,21,21:00
131,21:39,21,21:00
132,21:50,21,21:00
133,22:00,22,22:00
134,22:09,22,22:00
135,22:19,22,22:00
136,22:30,22,22:00
137,22:40,22,22:00
138,22:50,22,22:00
139,22:59,22,22:00
140,23:09,23,23:00
141,23:20,23,23:00
142,23:30,23,23:00
143,23:39,23,23:00
144,23:49,23,23:00
